"","Experiment","Cup","DPI","presence","temp","DTR","gametocytemia"
"108",1,4,26.5,0,19,0,0.000241379310344828
"109",1,4,26.5,0,19,0,0.000241379310344828
"110",1,4,26.5,0,19,0,0.000241379310344828
"111",1,4,26.5,0,19,0,0.000241379310344828
"112",1,4,26.5,0,19,0,0.000241379310344828
"113",1,4,26.5,0,19,0,0.000241379310344828
"114",1,4,26.5,0,19,0,0.000241379310344828
"115",1,4,26.5,0,19,0,0.000241379310344828
"116",1,3,29.4,0,19,0,0.000241379310344828
"117",1,3,29.4,0,19,0,0.000241379310344828
"118",1,3,29.4,0,19,0,0.000241379310344828
"119",1,3,29.4,0,19,0,0.000241379310344828
"120",1,3,29.4,0,19,0,0.000241379310344828
"121",1,3,29.4,0,19,0,0.000241379310344828
"122",1,3,29.4,0,19,0,0.000241379310344828
"123",1,3,29.4,0,19,0,0.000241379310344828
"124",1,3,29.4,0,19,0,0.000241379310344828
"125",1,3,29.4,0,19,0,0.000241379310344828
"126",1,4,29.4,1,19,0,0.000241379310344828
"127",1,4,29.4,0,19,0,0.000241379310344828
"128",1,4,29.4,0,19,0,0.000241379310344828
"129",1,4,29.4,0,19,0,0.000241379310344828
"130",1,4,29.4,0,19,0,0.000241379310344828
"131",1,4,29.4,0,19,0,0.000241379310344828
"132",1,4,29.4,0,19,0,0.000241379310344828
"133",1,4,29.4,0,19,0,0.000241379310344828
"134",1,4,29.4,0,19,0,0.000241379310344828
"135",1,4,29.4,0,19,0,0.000241379310344828
"136",1,3,32.5,0,19,0,0.000241379310344828
"137",1,3,32.5,0,19,0,0.000241379310344828
"138",1,3,32.5,0,19,0,0.000241379310344828
"139",1,3,32.5,0,19,0,0.000241379310344828
"140",1,3,32.5,0,19,0,0.000241379310344828
"141",1,3,32.5,0,19,0,0.000241379310344828
"142",1,3,32.5,0,19,0,0.000241379310344828
"143",1,3,32.5,0,19,0,0.000241379310344828
"144",1,3,32.5,0,19,0,0.000241379310344828
"145",1,3,32.5,0,19,0,0.000241379310344828
"146",1,4,32.5,0,19,0,0.000241379310344828
"147",1,4,32.5,0,19,0,0.000241379310344828
"148",1,4,32.5,0,19,0,0.000241379310344828
"149",1,4,32.5,0,19,0,0.000241379310344828
"150",1,4,32.5,0,19,0,0.000241379310344828
"151",1,4,32.5,0,19,0,0.000241379310344828
"152",1,4,32.5,0,19,0,0.000241379310344828
"153",1,4,32.5,0,19,0,0.000241379310344828
"154",1,4,32.5,0,19,0,0.000241379310344828
"155",1,4,32.5,0,19,0,0.000241379310344828
"156",1,3,36.5,1,19,0,0.000241379310344828
"157",1,3,36.5,0,19,0,0.000241379310344828
"158",1,3,36.5,0,19,0,0.000241379310344828
"159",1,3,36.5,0,19,0,0.000241379310344828
"160",1,3,36.5,0,19,0,0.000241379310344828
"161",1,3,36.5,0,19,0,0.000241379310344828
"162",1,3,36.5,0,19,0,0.000241379310344828
"163",1,3,36.5,0,19,0,0.000241379310344828
"164",1,3,36.5,0,19,0,0.000241379310344828
"165",1,3,36.5,0,19,0,0.000241379310344828
"166",1,4,36.5,0,19,0,0.000241379310344828
"167",1,4,36.5,0,19,0,0.000241379310344828
"168",1,4,36.5,0,19,0,0.000241379310344828
"169",1,4,36.5,0,19,0,0.000241379310344828
"170",1,4,36.5,0,19,0,0.000241379310344828
"171",1,4,36.5,0,19,0,0.000241379310344828
"172",1,4,36.5,0,19,0,0.000241379310344828
"173",1,4,36.5,0,19,0,0.000241379310344828
"174",1,4,36.5,0,19,0,0.000241379310344828
"175",1,4,36.5,0,19,0,0.000241379310344828
"176",1,4,36.5,0,19,0,0.000241379310344828
"177",1,3,40.5,0,19,0,0.000241379310344828
"178",1,3,40.5,0,19,0,0.000241379310344828
"179",1,3,40.5,0,19,0,0.000241379310344828
"180",1,3,40.5,0,19,0,0.000241379310344828
"181",1,3,40.5,0,19,0,0.000241379310344828
"182",1,3,40.5,0,19,0,0.000241379310344828
"183",1,3,40.5,0,19,0,0.000241379310344828
"184",1,3,40.5,0,19,0,0.000241379310344828
"185",1,3,40.5,0,19,0,0.000241379310344828
"186",1,3,40.5,0,19,0,0.000241379310344828
"187",1,4,40.5,1,19,0,0.000241379310344828
"188",1,4,40.5,0,19,0,0.000241379310344828
"189",1,4,40.5,0,19,0,0.000241379310344828
"190",1,4,40.5,0,19,0,0.000241379310344828
"191",1,4,40.5,0,19,0,0.000241379310344828
"192",1,4,40.5,0,19,0,0.000241379310344828
"193",1,4,40.5,0,19,0,0.000241379310344828
"194",1,4,40.5,0,19,0,0.000241379310344828
"195",1,4,40.5,0,19,0,0.000241379310344828
"196",1,4,40.5,0,19,0,0.000241379310344828
"197",1,5,16.5,0,21,0,0.000241379310344828
"198",1,5,16.5,0,21,0,0.000241379310344828
"199",1,5,16.5,0,21,0,0.000241379310344828
"200",1,5,16.5,0,21,0,0.000241379310344828
"201",1,5,16.5,0,21,0,0.000241379310344828
"202",1,5,16.5,0,21,0,0.000241379310344828
"203",1,5,16.5,0,21,0,0.000241379310344828
"204",1,5,16.5,0,21,0,0.000241379310344828
"205",1,5,16.5,0,21,0,0.000241379310344828
"206",1,5,16.5,0,21,0,0.000241379310344828
"207",1,6,16.5,0,21,0,0.000241379310344828
"208",1,6,16.5,0,21,0,0.000241379310344828
"209",1,6,16.5,0,21,0,0.000241379310344828
"210",1,6,16.5,0,21,0,0.000241379310344828
"211",1,6,16.5,0,21,0,0.000241379310344828
"212",1,6,16.5,0,21,0,0.000241379310344828
"213",1,6,16.5,0,21,0,0.000241379310344828
"214",1,6,16.5,0,21,0,0.000241379310344828
"215",1,6,16.5,0,21,0,0.000241379310344828
"216",1,6,16.5,0,21,0,0.000241379310344828
"217",1,5,18.5,0,21,0,0.000241379310344828
"218",1,5,18.5,0,21,0,0.000241379310344828
"219",1,5,18.5,0,21,0,0.000241379310344828
"220",1,5,18.5,0,21,0,0.000241379310344828
"221",1,5,18.5,0,21,0,0.000241379310344828
"222",1,5,18.5,0,21,0,0.000241379310344828
"223",1,5,18.5,0,21,0,0.000241379310344828
"224",1,5,18.5,0,21,0,0.000241379310344828
"225",1,5,18.5,0,21,0,0.000241379310344828
"226",1,5,18.5,0,21,0,0.000241379310344828
"227",1,6,18.5,0,21,0,0.000241379310344828
"228",1,6,18.5,0,21,0,0.000241379310344828
"229",1,6,18.5,0,21,0,0.000241379310344828
"230",1,6,18.5,0,21,0,0.000241379310344828
"231",1,6,18.5,0,21,0,0.000241379310344828
"232",1,6,18.5,0,21,0,0.000241379310344828
"233",1,6,18.5,0,21,0,0.000241379310344828
"234",1,6,18.5,0,21,0,0.000241379310344828
"235",1,6,18.5,0,21,0,0.000241379310344828
"236",1,6,18.5,0,21,0,0.000241379310344828
"237",1,5,20.5,0,21,0,0.000241379310344828
"238",1,5,20.5,0,21,0,0.000241379310344828
"239",1,5,20.5,0,21,0,0.000241379310344828
"240",1,5,20.5,0,21,0,0.000241379310344828
"241",1,5,20.5,0,21,0,0.000241379310344828
"242",1,5,20.5,0,21,0,0.000241379310344828
"243",1,5,20.5,0,21,0,0.000241379310344828
"244",1,5,20.5,0,21,0,0.000241379310344828
"245",1,5,20.5,0,21,0,0.000241379310344828
"246",1,5,20.5,0,21,0,0.000241379310344828
"247",1,6,20.5,1,21,0,0.000241379310344828
"248",1,6,20.5,1,21,0,0.000241379310344828
"249",1,6,20.5,0,21,0,0.000241379310344828
"250",1,6,20.5,0,21,0,0.000241379310344828
"251",1,6,20.5,0,21,0,0.000241379310344828
"252",1,6,20.5,0,21,0,0.000241379310344828
"253",1,6,20.5,0,21,0,0.000241379310344828
"254",1,6,20.5,0,21,0,0.000241379310344828
"255",1,6,20.5,0,21,0,0.000241379310344828
"256",1,6,20.5,0,21,0,0.000241379310344828
"257",1,6,20.5,0,21,0,0.000241379310344828
"258",1,6,20.5,0,21,0,0.000241379310344828
"259",1,5,22.5,0,21,0,0.000241379310344828
"260",1,5,22.5,0,21,0,0.000241379310344828
"261",1,5,22.5,0,21,0,0.000241379310344828
"262",1,5,22.5,0,21,0,0.000241379310344828
"263",1,5,22.5,0,21,0,0.000241379310344828
"264",1,5,22.5,0,21,0,0.000241379310344828
